HEI,role,betweenness,closeness,degree,diversity,eccentricity,pagerank,personalized_pagerank,strength
NL_MAASTRI01,0,21301.377486345318,0.47333525511674834,472.0,1.0,5.0,0.0013159551241322433,0.00131595512413229,472.0
NL_S-GRAVE13,0,26676.190323962608,0.4639073315440034,348.0,1.0,5.0,0.0010522313107379471,0.0010522313107379521,348.0
PL_KATOWIC02,0,6886.41027879064,0.4538419016030956,228.0,1.0,5.0,0.0005194716174259106,0.0005194716174259308,228.0
PL_KRAKOW03,0,10004.721185830753,0.4580195258019526,255.0,1.0,5.0,0.0007072878155817995,0.0007072878155818295,255.0
PL_KRAKOW04,0,15344.377813101008,0.45865921787709496,337.0,1.0,5.0,0.0008896619584591615,0.0008896619584591796,337.0
P__FARO02,0,8404.448909865627,0.4580195258019526,254.0,1.0,5.0,0.0007495332463109469,0.0007495332463109679,254.0
SF_HELSINK40,0,30656.313578292524,0.4493090710083459,270.0,1.0,5.0,0.0010122716595338417,0.0010122716595338632,270.0
SF_KOTKA06,0,7502.045995944284,0.4261061372777994,139.0,1.0,5.0,0.00048803197354586615,0.0004880319735458877,139.0
SF_OULU11,0,14036.69467552084,0.4502948032359797,191.0,1.0,5.0,0.0007104161342307487,0.0007104161342307515,191.0
S__BORAS01,0,8086.60975623939,0.4510369454745227,172.0,1.0,6.0,0.0008542139709660893,0.0008542139709661001,172.0
UK_WOLVERH01,0,1461.0060105202278,0.4392135883375685,151.0,1.0,6.0,0.0006373102999795969,0.0006373102999796307,151.0
A__EISENST05,3,901.232503098212,0.3610775151181968,38.0,1.0,6.0,0.00031230616013461465,0.00031230616013460424,38.0
DK_ARHUS05,3,3646.77112566405,0.3959488787074994,75.0,1.0,6.0,0.0005223400922891788,0.0005223400922891634,75.0
I__PERUGIA03,3,211.82686452908442,0.3688644277209929,22.0,1.0,6.0,0.00018312713805920382,0.00018312713805919748,22.0
NL_ENSCHED04,3,8003.636297949316,0.4224880998327544,119.0,1.0,6.0,0.000662603214992888,0.0006626032149928934,119.0
A__FELDKIR01,1,51.88670252303176,0.3702367531003382,16.0,1.0,6.0,8.766597465161606e-05,8.766597465161284e-05,16.0
E__BARCELO02,0,133006.628239384,0.5160276555625393,1008.0,1.0,5.0,0.0033046926726356257,0.003304692672635674,1008.0
E__HUELVA01,0,49545.15971280374,0.47941605839416057,500.0,1.0,5.0,0.0014975767272445803,0.001497576727244624,500.0
N__TONSBER02,1,1025.931657102606,0.4140713655276762,53.0,1.0,6.0,0.0002897026721728266,0.0002897026721728262,53.0
SF_OULU01,0,14240.209545772032,0.47760325770796974,447.0,1.0,5.0,0.0011772021009210168,0.001177202100921026,447.0
S__FALUN01,0,5412.322408194234,0.4530280038626017,217.0,1.0,6.0,0.0008412554432788564,0.0008412554432788896,217.0
UK_BELFAST05,1,1636.4803971637082,0.40729257100334865,70.0,1.0,5.0,0.0003270332739181503,0.00032703327391818296,70.0
A__FELDKIR03,3,234.19003377965916,0.35502702702702704,13.0,1.0,6.0,9.232815641927293e-05,9.232815641926879e-05,13.0
B__BRUSSEL43,0,52695.64765141719,0.4627959413754228,314.0,1.0,5.0,0.0013041332604483168,0.0013041332604483162,314.0
D__DETMOLD01,3,5876.970430572606,0.39334051982273327,47.0,1.0,6.0,0.00037825729937300073,0.00037825729937300697,47.0
D__DUSSELD06,3,1407.5971124508712,0.3819048726596116,55.0,1.0,6.0,0.00037497784310930223,0.00037497784310928944,55.0
E__CORDOBA04,3,2121.6765046922546,0.3629531388152078,31.0,1.0,6.0,0.00023698912007251262,0.00023698912007250175,31.0
E__SEVILLA04,3,2368.2266716211893,0.3908128049506129,55.0,1.0,6.0,0.00038481498765089914,0.0003848149876508869,55.0
P__PORTO05,0,90478.96032348996,0.48145433220935346,422.0,1.0,5.0,0.0014746221541452967,0.0014746221541453218,422.0
A__GRAZ01,0,17008.137654002392,0.4793460808641074,473.0,1.0,5.0,0.001198546578742993,0.001198546578743064,473.0
B__ANTWERP01,0,10394.481616441768,0.47732558139534886,432.0,1.0,6.0,0.0011562053332866678,0.0011562053332867216,432.0
B__BRUXEL87,0,11439.401965627232,0.4488791689447786,177.0,1.0,5.0,0.0005094041638034851,0.0005094041638035297,177.0
B__GENT01,0,60740.709634973595,0.5076518781882826,805.0,1.0,5.0,0.0018978055310222635,0.00189780553102234,805.0
CH_BASEL01,0,2280.6581848201463,0.4405097250167673,159.0,1.0,6.0,0.00045647225805516386,0.0004564722580551989,159.0
CH_FRIBOUR01,0,4501.373778200655,0.44912472647702406,252.0,1.0,6.0,0.0007184992588731861,0.0007184992588731891,252.0
CH_GENEVE01,0,5938.91385168859,0.4563646470261256,329.0,1.0,6.0,0.0010797079108173355,0.0010797079108174179,329.0
CH_ZURICH01,0,7392.416135062311,0.45585785674625207,292.0,1.0,6.0,0.0008482095260940165,0.0008482095260940551,292.0
CZ_OLOMOUC01,0,22128.62528900261,0.47642535905991584,407.0,1.0,5.0,0.0007499100065077861,0.0007499100065077817,407.0
CZ_PRAHA07,0,98578.23687485563,0.5107309486780716,991.0,1.0,5.0,0.002680836632136662,0.0026808366321367234,991.0
DK_ARHUS01,0,27303.773277269836,0.49742502272038774,672.0,1.0,6.0,0.002144354367635323,0.002144354367635432,672.0
DK_ROSKILD01,0,17116.80025866136,0.46489241223103056,314.0,1.0,5.0,0.0009091956032406096,0.0009091956032406855,314.0
D__BAMBERG01,0,12156.530856288871,0.45981517782133857,329.0,1.0,5.0,0.0007542834139479072,0.0007542834139479021,329.0
D__BERLIN01,0,25291.942061342794,0.48985680190930786,621.0,1.0,5.0,0.0019402673742063526,0.0019402673742065224,621.0
D__BERLIN02,0,12885.197654566029,0.46840678933105123,434.0,1.0,5.0,0.001336185525120301,0.00133618552512038,434.0
D__BERLIN13,0,26115.09177991461,0.4849379799173066,618.0,1.0,5.0,0.0018979292007824642,0.0018979292007826258,618.0
D__BIELEFE01,0,6191.124935326876,0.462470074637375,286.0,1.0,5.0,0.0006113001479213109,0.0006113001479213485,286.0
D__BOCHUM01,0,11064.345021185258,0.4719747053751078,394.0,1.0,5.0,0.0008707418769406288,0.0008707418769407002,394.0
D__BONN01,0,15712.392983515092,0.4732670413604266,440.0,1.0,5.0,0.0010989107347183118,0.0010989107347184844,440.0
D__DRESDEN02,0,31301.95457256071,0.4881093935790725,618.0,1.0,5.0,0.0014421329642669187,0.0014421329642670024,618.0
D__FRANKFU01,0,6053.82449511564,0.4661462029808375,386.0,1.0,5.0,0.0008443861066099008,0.0008443861066099858,386.0
D__FRANKFU08,0,4876.697427022982,0.45833914863921843,284.0,1.0,5.0,0.0006351825492857315,0.0006351825492857606,284.0
D__GOTTING01,0,18418.936914287544,0.48145433220935346,532.0,1.0,5.0,0.001277332284711409,0.0012773322847115934,532.0
D__HALLE01,0,4731.304782290781,0.4530905077262693,226.0,1.0,5.0,0.00040814596569372003,0.0004081459656937393,226.0
D__HEIDELB01,0,9372.426239860595,0.4714326729830606,467.0,1.0,5.0,0.0012639457578288854,0.0012639457578291018,467.0
D__HEIDELB04,1,0.0,0.3240576277876456,2.0,1.0,6.0,5.8133646136672846e-05,5.813364613666992e-05,2.0
D__JENA01,0,13781.689394504203,0.4784382284382284,427.0,1.0,5.0,0.0009269204637375319,0.0009269204637377043,427.0
D__KIEL01,0,4102.553026077675,0.4637763027820929,313.0,1.0,5.0,0.0006239362662289102,0.000623936266228944,313.0
D__KOLN01,0,15910.149861686843,0.48053848405033656,500.0,1.0,5.0,0.0015564466395496025,0.0015564466395497252,500.0
D__LEIPZIG01,0,30594.238641128293,0.484508704632635,597.0,1.0,6.0,0.0015012142485439234,0.0015012142485441044,597.0
D__MAINZ01,0,46175.265828906486,0.48695136417556345,544.0,1.0,5.0,0.001357892304406451,0.0013578923044064413,544.0
D__MARBURG01,0,5538.2592727850215,0.46634478841238286,339.0,1.0,5.0,0.0007146739012820412,0.0007146739012820797,339.0
D__MUNCHEN01,0,16699.659936906235,0.4823028344837715,581.0,1.0,5.0,0.001556843156629617,0.0015568431566297353,581.0
D__MUNSTER01,0,24909.79819569787,0.4861584011843079,541.0,1.0,5.0,0.0012244972963964106,0.0012244972963965063,541.0
D__REGENSB01,0,7231.213374587338,0.4630569655950367,360.0,1.0,5.0,0.0008325745120886536,0.000832574512088755,360.0
D__TRIER01,0,4492.32697004735,0.45808341470219,305.0,1.0,5.0,0.0006936674608946761,0.0006936674608946431,305.0
D__TUBINGE01,0,9622.640473479963,0.4756662804171495,457.0,1.0,6.0,0.0011691616642514875,0.0011691616642514075,457.0
E__ALCAL-H01,0,70561.47723477696,0.4872403560830861,635.0,1.0,5.0,0.0016295661210863367,0.0016295661210864322,635.0
E__BADAJOZ01,0,21889.33676759913,0.46820644425434843,388.0,1.0,5.0,0.0008450042599220777,0.0008450042599221556,388.0
E__BARCELO15,0,33266.28952771749,0.4717035334673944,551.0,1.0,5.0,0.0016731261245060928,0.001673126124506187,551.0
E__BARCELO16,0,25260.51753102967,0.4549736769188141,337.0,1.0,6.0,0.0010970698890720902,0.0010970698890721265,337.0
E__CADIZ01,0,67311.0302859387,0.4813837584286133,649.0,1.0,6.0,0.001802159585499088,0.00180215958549916,649.0
E__CASTELL01,0,15579.045018953191,0.4587873707739592,337.0,1.0,5.0,0.0008278993343953114,0.0008278993343953378,337.0
E__GRANADA01,0,276976.5361299802,0.5345922187856096,1356.0,1.0,5.0,0.0037351476148809125,0.0037351476148810825,1356.0
E__LA-CORU01,0,23855.98502063219,0.46574953907247196,371.0,1.0,5.0,0.0009574735314977989,0.0009574735314978681,371.0
E__MADRID02,0,13124.954776692735,0.4520302821748107,361.0,1.0,6.0,0.0010884866147678727,0.001088486614768008,361.0
E__MADRID04,0,43528.90091328333,0.4880368554019914,730.0,1.0,5.0,0.0020037281411875328,0.0020037281411877717,730.0
E__MADRID14,0,39085.0393763031,0.4752532561505065,641.0,1.0,5.0,0.001747119681399446,0.0017471196813994938,641.0
E__MALAGA01,0,76580.73492414,0.49250149970005996,746.0,1.0,5.0,0.00207550158888562,0.0020755015888857834,746.0
E__MONDRAG01,0,3621.620847452148,0.4324466684224388,148.0,1.0,6.0,0.00030254393630481044,0.0003025439363048068,148.0
E__OVIEDO01,0,59106.63228723626,0.48825453464168894,655.0,1.0,5.0,0.0015158687546968828,0.0015158687546970046,655.0
E__PALMA01,0,18411.833248069717,0.45579458709229703,324.0,1.0,5.0,0.0008616852990762758,0.0008616852990763524,324.0
E__SALAMAN02,0,65253.8540057036,0.5016804155209288,868.0,1.0,5.0,0.0025273172909029726,0.002527317290903272,868.0
E__SANTAND01,0,17543.922870714523,0.46065366811614533,385.0,1.0,6.0,0.0010086921591705644,0.0010086921591706793,385.0
E__SANTIAG01,0,45351.100889889676,0.49309309309309307,707.0,1.0,5.0,0.00161696856002571,0.0016169685600259075,707.0
E__SEVILLA03,0,28352.828646705613,0.4629916819399408,451.0,1.0,5.0,0.0012444177846671906,0.00124441778466727,451.0
E__TENERIF01,0,20503.805922388907,0.4646293152235427,409.0,1.0,5.0,0.0011145040857301596,0.0011145040857302331,409.0
E__VALENCI01,0,101506.35980923253,0.5115264797507788,985.0,1.0,5.0,0.0029137040929211027,0.0029137040929213508,985.0
E__VIGO01,0,68525.8356591874,0.4883271375464684,632.0,1.0,5.0,0.0014982602716747525,0.0014982602716748818,632.0
E__ZARAGOZ01,0,96246.1119279644,0.5057754504851378,875.0,1.0,5.0,0.0021815060025253525,0.0021815060025253013,875.0
